,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,,,
155,530,-0.03,-0.006898087,0.049,-0.023101913,-0.079,-0.106323566,0.000533698,0.006241,,,,
156,531,-0.17,0.418670944,0.045823529,-0.588670944,-0.215823529,-0.107364001,0.34653348,0.046579796,,,,
157,532,-1.63,0.149270492,0.044058824,-1.779270492,-1.674058824,-0.106289925,3.165803482,2.802472945,,,,
158,533,-1.59,-0.120893803,0.037529412,-1.469106197,-1.627529412,-0.101570064,2.158273019,2.648851986,,,,
159,536,-0.19,-0.242102343,0.033205882,0.052102343,-0.223205882,-0.100998405,0.002714654,0.049820866,,,,
160,537,0.96,0.085244499,0.033735294,0.874755501,0.926264706,-0.09961311,0.765197187,0.857966305,,,,
161,538,0.06,0.390102319,0.035676471,-0.330102319,0.024323529,-0.099787921,0.108967541,0.000591634,,,,
162,539,-0.09,-0.029314944,0.036441176,-0.060685056,-0.126441176,-0.099412601,0.003682676,0.015987371,,,,
163,540,-0.2,-0.165738355,0.036147059,-0.034261645,-0.236147059,-0.098822892,0.00117386,0.055765433,,,,
164,543,1.42,0.242561087,0.035470588,1.177438913,1.384529412,-0.094802955,1.386362395,1.916921692,,,,
165,544,0.87,0.539437465,0.035441176,0.330562535,0.834558824,-0.091470118,0.109271589,0.69648843,,,,
166,545,0.34,0.637943015,0.039676471,-0.297943015,0.300323529,-0.091128097,0.08877004,0.090194222,,,,
167,546,1.39,0.224326435,0.039941176,1.165673565,1.350058824,-0.087675905,1.35879486,1.822658827,,,,
168,547,0.38,0.156441545,0.044705882,0.223558455,0.335294118,-0.087076475,0.049978383,0.112422145,,,,
169,551,0.68,0.161444722,0.045411765,0.518555278,0.634588235,-0.085999136,0.268899576,0.402702228,,,,
170,552,0.15,1.26432751,0.049441176,-1.11432751,0.100558824,-0.090972966,1.241725801,0.010112077,,,,
171,553,0.57,0.469356639,0.051147059,0.100643361,0.518852941,-0.0894433,0.010129086,0.269208375,,,,
172,554,0.36,-0.240945084,0.055323529,0.600945084,0.304676471,-0.090252585,0.361134994,0.092827752,,,,
173,557,-0.91,0.344193758,0.059205882,-1.254193758,-0.969205882,-0.092040506,1.573001983,0.939360042,,,,
174,558,0.25,-0.764899563,0.057235294,1.014899563,0.192764706,-0.095845262,1.030021124,0.037158232,,,,
175,559,0.48,0.127618431,0.059352941,0.352381569,0.420647059,-0.095239917,0.12417277,0.176943948,,,,
176,560,-0.14,-0.631623469,0.062294118,0.491623469,-0.202294118,-0.095761808,0.241693635,0.04092291,,,,
177,561,-0.54,0.263711439,0.067117647,-0.803711439,-0.607117647,-0.096377504,0.645952077,0.368591837,,,,
178,564,0.11,0.019995229,0.069911765,0.090004771,0.040088235,-0.096131592,0.008100859,0.001607067,,,,
179,565,-0.18,0.038522285,0.070264706,-0.218522285,-0.250264706,-0.095762313,0.047751989,0.062632423,,,,
180,566,-0.74,-0.338137097,0.068529412,-0.401862903,-0.808529412,-0.093105975,0.161493792,0.65371981,,,,
181,567,-0.26,-0.624873937,0.066411765,0.364873937,-0.326411765,-0.092888562,0.13313299,0.10654464,,,,
182,568,-0.6,-0.251524851,0.066882353,-0.348475149,-0.666882353,-0.091071887,0.121434929,0.444732073,,,,
183,571,-1.51,-0.014390044,0.067411765,-1.495609956,-1.577411765,-0.088369209,2.23684914,2.488227875,,,,
184,572,-0.74,-0.557626997,0.058823529,-0.182373003,-0.798823529,-0.08540616,0.033259912,0.638119031,,,,
185,573,-1.75,-0.469802199,0.048294118,-1.280197801,-1.798294118,-0.07732162,1.63890641,3.233861734,,,,
186,574,-0.26,-1.001645922,0.043147059,0.741645922,-0.303147059,-0.078832566,0.550038673,0.091898139,,,,
187,575,0.29,-0.104687504,0.041852941,0.394687504,0.248147059,-0.078952414,0.155778226,0.061576963,,,,
188,578,-2.06,0.458546199,0.042794118,-2.518546199,-2.102794118,-0.083804908,6.343074956,4.421743101,,,,
189,579,-0.43,0.134962514,0.033647059,-0.564962514,-0.463647059,-0.083862167,0.319182642,0.214968595,,,,
190,580,0.38,-0.530312052,0.033529412,0.910312052,0.346470588,-0.086176038,0.828668033,0.120041869,,,,
191,581,0.32,0.814757956,0.036411765,-0.494757956,0.283588235,-0.08650864,0.244785435,0.080422287,,,,
192,582,-0.71,-0.321411291,0.040323529,-0.388588709,-0.750323529,-0.084512852,0.151001184,0.562985399,,,,
193,585,0.56,0.410648927,0.039470588,0.149351073,0.520529412,-0.083264615,0.022305743,0.270950869,,,,
194,586,1.28,-0.152319434,0.041676471,1.432319434,1.238323529,-0.084183855,2.05153896,1.533445163,,,,
195,587,1.23,0.956281998,0.045411765,0.273718002,1.184588235,-0.078602749,0.074921545,1.403249287,,,,
196,588,-0.34,0.548134353,0.050264706,-0.888134353,-0.390264706,-0.080590466,0.788782628,0.152306541,,,,
197,589,2.63,-0.703416682,0.052147059,3.333416682,2.577852941,-0.092703462,11.11166677,6.645325786,,,,
198,592,0.89,2.934614938,0.064735294,-2.044614938,0.825264706,-0.103723515,4.180450246,0.681061835,,,,
199,593,-0.82,1.271526893,0.069529412,-2.091526893,-0.889529412,-0.114663361,4.374484744,0.791262574,,,,
200,594,-0.05,-0.727665746,0.072411765,0.677665746,-0.122411765,-0.115790853,0.459230863,0.01498464,,,,
201,595,0.66,-0.264367905,0.074970588,0.924367905,0.585029412,-0.116943687,0.854456023,0.342259413,,,,
202,596,0.33,-0.405196742,0.075941176,0.735196742,0.254058824,-0.11812616,0.54051425,0.064545886,,,,
203,599,1.17,0.376977184,0.078205882,0.793022816,1.091794118,-0.115398757,0.628885187,1.192014395,,,,
204,600,0.07,0.62728283,0.088558824,-0.55728283,-0.018558824,-0.116089567,0.310564152,0.00034443,,,,
205,601,0.21,0.327538825,0.094588235,-0.117538825,0.115411765,-0.115800347,0.013815375,0.013319875,,,,
206,602,0.03,0.389763494,0.096352941,-0.359763494,-0.066352941,-0.115906878,0.129429772,0.004402713,,,,
207,603,-0.48,-0.18123532,0.102558824,-0.29876468,-0.582558824,-0.114663802,0.089260334,0.339374783,,,,
208,606,-0.44,0.048806526,0.1035,-0.488806526,-0.5435,-0.114054014,0.23893182,0.29539225,,,,
209,607,0.44,-0.662653637,0.094911765,1.102653637,0.345088235,-0.11710242,1.215845044,0.11908589,,,,
210,608,0.28,-0.181421794,0.096794118,0.461421794,0.183205882,-0.117355728,0.212910072,0.033564395,,,,
211,609,1.27,-0.132414882,0.096705882,1.402414882,1.173294118,-0.118128397,1.966767503,1.376619087,,,,
212,610,0.6,0.441828221,0.107205882,0.158171779,0.492794118,-0.117058161,0.025018312,0.242846042,,,,
213,614,-0.07,0.55834909,0.113323529,-0.62834909,-0.183323529,-0.117856602,0.394822578,0.033607516,,,,
214,615,-0.15,0.121590934,0.109176471,-0.271590934,-0.259176471,-0.117564611,0.073761636,0.067172443,,,,
215,616,0.05,-0.167271341,0.106882353,0.217271341,-0.056882353,-0.117421262,0.047206836,0.003235602,,,,
216,617,0.01,-0.199530463,0.108882353,0.209530463,-0.098882353,-0.117246171,0.043903015,0.00977772,,,,
217,620,-0.98,0.121129081,0.112176471,-1.101129081,-1.092176471,-0.116401142,1.212485252,1.192849443,,,,
218,621,0.21,-0.352078492,0.112205882,0.562078492,0.097794118,-0.117037899,0.315932231,0.009563689,,,,
219,622,0.24,0.191746879,0.118823529,0.048253121,0.121176471,-0.116726084,0.002328364,0.014683737,,,,
220,623,0.2,-0.276730503,0.126411765,0.476730503,0.073588235,-0.117112262,0.227271973,0.005415228,,,,
221,624,-0.24,0.202790572,0.122558824,-0.442790572,-0.362558824,-0.116967762,0.19606349,0.131448901,,,,
222,627,0.19,-0.185273825,0.1205,0.375273825,0.0695,-0.117100377,0.140830443,0.00483025,,,,
223,628,-0.85,0.169787513,0.126617647,-1.019787513,-0.976617647,-0.116590009,1.039966572,0.953782029,,,,
224,629,0.14,0.014397431,0.133,0.125602569,0.007,-0.116375174,0.015776005,4.90E-05,,,,
225,630,0.16,-0.037283053,0.141529412,0.197283053,0.018470588,-0.116228008,0.038920603,0.000341163,,,,
226,631,-0.6,-0.110125753,0.142882353,-0.489874247,-0.742882353,-0.114784675,0.239976777,0.55187419,,,,
227,634,0.41,0.195630641,0.150382353,0.214369359,0.259617647,-0.114435396,0.045954222,0.067401323,,,,
