,Date,actural_return,historic_mean,predicted_return,f_err,r_err,RMSE_diff,se_lm,se_mean,,
202,12947,0.24,-0.250601959,-0.007333333,0.490601959,0.247333333,-0.124705085,0.240690282,0.061173778,,
203,12948,-0.1,0.171456061,-0.004166667,-0.271456061,-0.095833333,-0.124556825,0.073688393,0.009184028,,
204,12949,-0.03,-0.536884942,0.001777778,0.506884942,-0.031777778,-0.124894277,0.256932345,0.001009827,,
205,12950,0.27,0.432687253,0.003777778,-0.162687253,0.266222222,-0.124451855,0.026467142,0.070874272,,
206,12951,-0.25,0.516236249,0.000416667,-0.766236249,-0.250416667,-0.125436944,0.58711799,0.062708507,,
207,12954,0.84,0.276643826,-0.00425,0.563356174,0.84425,-0.123887539,0.317370179,0.712758063,,
208,12955,-0.35,-0.809520218,-0.003111111,0.459520218,-0.346888889,-0.123771117,0.211158831,0.120331901,,
209,12956,-1,0.078448697,-0.009611111,-1.078448697,-0.990388889,-0.12357021,1.163051591,0.980870151,,
210,12957,-0.46,-0.495104428,-0.01,0.035104428,-0.45,-0.122707272,0.001232321,0.2025,,
211,12958,-0.75,0.245181996,-0.011222222,-0.995181996,-0.738777778,-0.123311882,0.990387206,0.545792605,,
212,12961,-0.35,0.086945511,-0.016166667,-0.436945511,-0.333833333,-0.123175142,0.19092138,0.111444694,,
213,12962,-0.89,-0.481314862,-0.017,-0.408685138,-0.873,-0.121165525,0.167023542,0.762129,,
214,12963,1,0.172923677,-0.014305556,0.827076323,1.014305556,-0.119687371,0.684055244,1.02881576,,
215,12964,-0.68,0.396868325,-0.005166667,-1.076868325,-0.674833333,-0.120954287,1.159645389,0.455400028,,
216,12965,0.51,-0.128471589,-0.002194444,0.638471589,0.512194444,-0.120933042,0.40764597,0.262343149,,
217,12969,-1.13,-0.387217424,0.003138889,-0.742782576,-1.133138889,-0.118459209,0.551725956,1.284003742,,
218,12970,0.07,0.253452481,-0.008166667,-0.183452481,0.078166667,-0.118251031,0.033654813,0.006110028,,
219,12971,-0.52,-0.396884578,-0.000444444,-0.123115422,-0.519555556,-0.117282463,0.015157407,0.269937975,,
220,12972,0.39,-0.4485789,0.000611111,0.8385789,0.389388889,-0.118277047,0.703214572,0.151623707,,
